,name,latitude,longitude
168,Matthew P. Sapolin Playground,40.77735970443208,-73.98395825905565
169,Sol Lain Playground,40.71440132823593,-73.98397772595389
170,Forest Park,40.7107701087879,-73.8354954623703
171,Baisley Pond Park,40.67588888210323,-73.78618229228483
172,Saratoga Park,40.6850515498592,-73.91901593474097
173,Claremont Park,40.84045873043794,-73.90743694067467
174,Midland Beach,40.57086486946726,-74.09136971589997
175,Fort Greene Park,40.6955450443,-73.98937506439998
176,Bronx Park,40.85662155048014,-73.87582913133085
177,Courtney Callender Playground,40.810044104807176,-73.94011420779181
178,Riverside Park,40.810570079,-73.88351000909998
179,Henry M. Jackson Playground,40.713971935095294,-73.98150460297435
180,Jacob H. Schiff Playground,40.820356631293066,-73.9521076587694
181,Hunter's Point South Park,40.74196700203454,-73.96083879507933
182,Springfield Park,40.660818160932685,-73.76234031180775
183,London Planetree Playground,40.68590775130158,-73.85313461241702
184,Harlem Art Park,40.80103639100321,-73.93879869123161
185,Father Macris Park,40.61662428161341,-74.16163406340283
186,St. Mary's Park,40.81146019657945,-73.91410834450186
187,Alfred E. Smith Playground,40.710453569098775,-73.99701379008718
188,Seaside Wildlife Nature Park,40.54013312543177,-74.14177059782034
189,Matthews Muliner Playground,40.8469156154764,-73.86150089255239
190,Astoria Park,40.77887309651599,-73.92321098391942
191,Coffey Park,40.67719766956452,-74.00870745319095
192,Bensonhurst Park,40.59651286245374,-74.00130224807027
193,P.S. 176 Cambria Heights,40.684891535760855,-73.7297282736645
194,Randall's Island Park,40.795745195899975,-73.9217299903786
195,Heckscher Playground,40.6951149061972,-73.91826823368272
196,Grady Playground,40.58249848750227,-73.96527171769635
197,Cambria Heights,40.695736449613854,-73.74113519626219
198,American Playground,40.72873180562088,-73.95763235147263
199,Asser Levy Playground,40.736143703298765,-73.97566803135638
200,Rosemary's Playground,40.70461575215885,-73.90443363509625
201,Brevoort Playground,40.68119065636876,-73.92530258035829
202,Fresh Meadows Park,40.74071420525839,-73.78538031922261
203,Freshkills Park,40.58405235726087,-74.17770999815518
204,Wayanda Park,40.71085296214561,-73.73900844904084
205,Space Time Playground,40.82292534007768,-73.85999994621011
206,Julio Carballo Fields,40.81495876161648,-73.88923835051216
207,Sheepshead Playground,40.61939871565215,-73.94525836081885
208,Ocean Breeze Park,40.586156369839365,-74.07859322520513
209,Lemon Creek Park,40.51299059395328,-74.20179715978443
210,Francis Lewis Park,40.79711962493639,-73.82525071069762
211,Brookville Park,40.659398,-73.745968
212,Redfern Playground,40.61122703664893,-73.74964325961275
213,Blue Heron Park,40.53223127466387,-74.17438153736359
214,Cadman Plaza Park,40.698443439339215,-73.99062617442874
215,Grover Cleveland Playground,40.71089966509895,-73.91114488664833
216,Nathan Straus Playground,40.7191002917636,-73.98355210864376
217,Vito Locascio Field,40.66995840961787,-73.84371981982628
218,Bayside Fields,40.77154655046376,-73.78436882127397
219,Mae Grant Playground,40.79250562845448,-73.9499559443238
220,Highbridge Park,40.84197921542005,-73.92663979609692
221,Amersfort Park,40.6286560833158,-73.93901130374405
222,Hell's Kitchen Park,40.76279459355664,-73.99247674737168
223,Millbrook Playground,40.80433512359481,-73.91697290585027
224,Nelson Playground,40.835023902768405,-73.92658149616166
225,James Weldon Johnson Playground,40.797392864502434,-73.9415245225696
226,Sol Bloom Playground,40.78984485760667,-73.9687264826781
227,St. Vartan Park,40.74494686347436,-73.97325767107215
228,Tappen Park,40.62681067275755,-74.07687567003411
229,Dry Dock Playground,40.72546080979488,-73.97545543161931
230,Wingate Park,40.658990003288736,-73.94327293498675
231,Marcy Playground,40.69552138727719,-73.95091348995823
232,Alley Pond Park,40.74734699999998,-73.74122599999998
233,John V. Lindsay East River Park,40.71698789453136,-73.97532680713722
234,Woodlawn Playground,40.8989740707,-73.87388605229998
235,Bowne Playground,40.75845345022829,-73.8240297293978
236,Rufus King Park,40.703083259704414,-73.80376406636994
237,Scarangella Park,40.59466594403684,-73.98433885872595
238,P.O. Reinaldo Salgado Playground,40.68790247532552,-73.92546140962213
239,White Playground,40.79164156828936,-73.94590604206745
240,Carl Schurz Park,40.77513974316064,-73.9435002245543
241,Seward Park,40.71734073627247,-73.98932346037874
242,Fidler-Wyckoff House Park,40.644340680284685,-73.92079196907318
243,Lt. Joseph Petrosino Park,40.61911976987072,-73.99851228393689
244,John Paul Jones Park,40.61091405547784,-74.03409082866352
245,The Big Park,40.63080957473518,-74.16451275187518
